15:24:37.950143 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5925792:5925956, ack 3061, win 501, length 164
15:24:37.950191 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5925956:5926120, ack 3061, win 501, length 164
15:24:37.950235 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5926120:5926284, ack 3061, win 501, length 164
15:24:37.950273 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5926284:5926448, ack 3061, win 501, length 164
15:24:37.950309 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5926448:5926612, ack 3061, win 501, length 164
15:24:37.950345 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5926612:5926776, ack 3061, win 501, length 164
15:24:37.950379 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5926776:5926940, ack 3061, win 501, length 164
15:24:37.950415 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5926940:5927104, ack 3061, win 501, length 164
15:24:37.950449 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5927104:5927268, ack 3061, win 501, length 164
15:24:37.950486 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5927268:5927432, ack 3061, win 501, length 164
15:24:37.950519 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5927432:5927596, ack 3061, win 501, length 164
15:24:37.955819 IP 99.228.88.180.65054 > 143.110.216.40.22: Flags [.], ack 5742756, win 16501, length 0
15:24:37.955849 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5927596:5927760, ack 3061, win 501, length 164
15:24:37.955913 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5927760:5928028, ack 3061, win 501, length 268
15:24:37.955954 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5928028:5928192, ack 3061, win 501, length 164
15:24:37.955990 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5928192:5928356, ack 3061, win 501, length 164
15:24:37.956026 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5928356:5928520, ack 3061, win 501, length 164
15:24:37.956063 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5928520:5928684, ack 3061, win 501, length 164
15:24:37.956099 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5928684:5928848, ack 3061, win 501, length 164
15:24:37.956135 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5928848:5929012, ack 3061, win 501, length 164
15:24:37.956173 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5929012:5929176, ack 3061, win 501, length 164
